Date,Home,Visitor,HomeScore,VisitorScore
20100405,ANA,MIN,6,3
20100405,CHA,CLE,6,0
20100405,KCA,DET,4,8
20100405,OAK,SEA,3,5
20100405,TEX,TOR,5,4
20100405,ARI,SDN,6,3
20100405,ATL,CHN,16,5
20100405,CIN,SLN,6,11
20100405,HOU,SFN,2,5
20100405,MIL,COL,3,5
20100405,NYN,FLO,7,1
20100405,PIT,LAN,11,5
20100405,WAS,PHI,1,11
20100406,ANA,MIN,3,5
20100406,BOS,NYA,4,6
20100406,OAK,SEA,2,1
20100406,TBA,BAL,4,3
20100406,ARI,SDN,3,6
20100406,HOU,SFN,0,3
20100406,MIL,COL,7,5
20100407,ANA,MIN,2,4
20100407,BOS,NYA,1,3
20100407,CHA,CLE,3,5
20100407,KCA,DET,3,2
20100407,OAK,SEA,6,5
20100407,TBA,BAL,4,3
20100407,TEX,TOR,4,7
20100407,ARI,SDN,5,3
20100407,ATL,CHN,3,2
20100407,CIN,SLN,3,6
20100407,HOU,SFN,4,10
20100407,MIL,COL,5,4
20100407,NYN,FLO,6,7
20100407,PIT,LAN,4,3
20100407,WAS,PHI,4,8
20100408,ANA,MIN,1,10
20100408,CHA,CLE,3,5
20100408,KCA,DET,3,7
20100408,OAK,SEA,6,2
20100408,TBA,BAL,4,5
20100408,TEX,TOR,1,3
20100408,ATL,CHN,0,2
20100408,CIN,SLN,2,1
20100408,NYN,FLO,1,3
20100408,PIT,LAN,2,10
20100408,WAS,PHI,6,5
20100409,ANA,OAK,4,10
20100409,BAL,TOR,6,7
20100409,CHA,MIN,3,4
20100409,DET,CLE,5,2
20100409,KCA,BOS,4,3
20100409,TBA,NYA,9,3
20100409,TEX,SEA,6,2
20100409,ARI,PIT,9,1
20100409,CIN,CHN,5,4
20100409,COL,SDN,7,0
20100409,FLO,LAN,3,7
20100409,HOU,PHI,0,8
20100409,MIL,SLN,4,5
20100409,NYN,WAS,8,2
20100409,SFN,ATL,5,4
20100410,ANA,OAK,4,3
20100410,BAL,TOR,0,3
20100410,CHA,MIN,1,2
20100410,DET,CLE,4,2
20100410,KCA,BOS,3,8
20100410,TBA,NYA,0,10
20100410,TEX,SEA,3,4
20100410,ARI,PIT,3,6
20100410,CIN,CHN,3,4
20100410,COL,SDN,4,5
20100410,FLO,LAN,7,6
20100410,HOU,PHI,6,9
20100410,MIL,SLN,1,7
20100410,NYN,WAS,3,4
20100410,SFN,ATL,2,7
20100411,ANA,OAK,4,9
20100411,BAL,TOR,2,5
20100411,CHA,MIN,5,4
20100411,DET,CLE,9,8
20100411,KCA,BOS,6,8
20100411,TBA,NYA,3,7
20100411,TEX,SEA,9,2
20100411,ARI,PIT,15,6
20100411,CIN,CHN,3,1
20100411,COL,SDN,4,2
20100411,FLO,LAN,6,5
20100411,HOU,PHI,1,2
20100411,MIL,SLN,8,7
20100411,NYN,WAS,2,5
20100411,SFN,ATL,6,3
20100412,BAL,TBA,1,5
20100412,CLE,TEX,2,4
20100412,DET,KCA,5,10
20100412,MIN,BOS,5,2
20100412,SEA,OAK,0,4
20100412,TOR,CHA,7,8
20100412,CHN,MIL,9,5
20100412,FLO,CIN,5,6
20100412,PHI,WAS,7,4
20100412,SDN,ATL,17,2
20100412,SFN,PIT,9,3
20100412,SLN,HOU,5,0
20100413,BAL,TBA,6,8
20100413,DET,KCA,6,5
20100413,NYA,ANA,7,5
20100413,SEA,OAK,3,0
20100413,TOR,CHA,4,2
20100413,COL,NYN,11,3
20100413,FLO,CIN,8,10
20100413,LAN,ARI,9,5
20100413,SFN,PIT,5,6
20100414,BAL,TBA,1,9
20100414,CLE,TEX,2,6
20100414,DET,KCA,3,7
20100414,MIN,BOS,3,6
20100414,NYA,ANA,3,5
20100414,SEA,OAK,4,2
20100414,TOR,CHA,1,11
20100414,CHN,MIL,7,6
20100414,COL,NYN,6,5
20100414,FLO,CIN,5,3
20100414,LAN,ARI,7,9
20100414,PHI,WAS,14,7
20100414,SDN,ATL,1,6
20100414,SFN,PIT,6,0
20100414,SLN,HOU,2,1
20100415,CLE,TEX,3,2
20100415,MIN,BOS,8,0
20100415,NYA,ANA,6,2
20100415,OAK,BAL,6,2
20100415,TOR,CHA,7,3
20100415,CHN,MIL,6,8
20100415,COL,NYN,0,5
20100415,FLO,CIN,10,2
20100415,LAN,ARI,6,5
20100415,PHI,WAS,5,7
20100415,SDN,ATL,2,6
20100415,SLN,HOU,1,5
20100416,BOS,TBA,1,3
20100416,CLE,CHA,6,2
20100416,MIN,KCA,10,3
20100416,NYA,TEX,5,1
20100416,OAK,BAL,4,2
20100416,SEA,DET,11,3
20100416,TOR,ANA,5,7
20100416,ATL,COL,9,5
20100416,CHN,HOU,7,2
20100416,LAN,SFN,10,8
20100416,PHI,FLO,8,6
20100416,PIT,CIN,4,3
20100416,SDN,ARI,6,3
20100416,SLN,NYN,4,3
20100416,WAS,MIL,5,3
20100417,BOS,TBA,5,6
20100417,CLE,CHA,3,2
20100417,MIN,KCA,6,5
20100417,NYA,TEX,7,3
20100417,OAK,BAL,4,3
20100417,SEA,DET,4,2
20100417,TOR,ANA,3,6
20100417,ATL,COL,0,4
20100417,CHN,HOU,3,4
20100417,LAN,SFN,0,9
20100417,PHI,FLO,1,5
20100417,PIT,CIN,5,4
20100417,SDN,ARI,5,0
20100417,SLN,NYN,1,2
20100417,WAS,MIL,8,0
20100418,BOS,TBA,1,7
20100418,CLE,CHA,7,4
20100418,MIN,KCA,5,10
20100418,NYA,TEX,5,2
20100418,OAK,BAL,3,8
20100418,SEA,DET,2,4
20100418,TOR,ANA,1,3
20100418,ATL,COL,4,3
20100418,CHN,HOU,2,3
20100418,LAN,SFN,2,1
20100418,PHI,FLO,0,2
20100418,PIT,CIN,5,3
20100418,SDN,ARI,5,3
20100418,SLN,NYN,5,3
20100418,WAS,MIL,7,11
20100419,ANA,DET,2,0
20100419,BOS,TBA,2,8
20100419,SEA,BAL,8,2
20100419,TOR,KCA,8,1
20100419,ARI,SLN,2,4
20100419,NYN,CHN,6,1
20100419,SDN,SFN,3,2
20100419,WAS,COL,5,2
20100420,ANA,DET,6,5
20100420,BOS,TEX,7,6
20100420,CHA,TBA,4,1
20100420,MIN,CLE,5,1
20100420,OAK,NYA,3,7
20100420,SEA,BAL,3,1
20100420,TOR,KCA,4,3
20100420,ARI,SLN,9,7
20100420,ATL,PHI,4,3
20100420,CIN,LAN,11,9
20100420,HOU,FLO,7,5
20100420,NYN,CHN,4,0
20100420,PIT,MIL,1,8
20100420,SDN,SFN,1,0
20100420,WAS,COL,4,10
20100421,ANA,DET,3,4
20100421,BOS,TEX,8,7
20100421,CHA,TBA,0,12
20100421,MIN,CLE,6,0
20100421,OAK,NYA,1,3
20100421,SEA,BAL,4,1
20100421,TOR,KCA,3,4
20100421,ARI,SLN,4,9
20100421,ATL,PHI,0,2
20100421,CIN,LAN,6,14
20100421,HOU,FLO,5,4
20100421,NYN,CHN,3,9
20100421,PIT,MIL,0,8
20100421,SDN,SFN,5,2
20100421,WAS,COL,6,4
20100422,ANA,DET,4,5
20100422,BOS,TEX,0,3
20100422,CHA,TBA,2,10
20100422,MIN,CLE,1,8
20100422,OAK,NYA,4,2
20100422,ATL,PHI,3,8
20100422,CIN,LAN,8,5
20100422,HOU,FLO,1,5
20100422,NYN,CHN,5,2
20100422,PIT,MIL,0,20
20100422,WAS,COL,0,2
20100423,ANA,NYA,6,4
20100423,BOS,BAL,4,3
20100423,CHA,SEA,7,6
20100423,KCA,MIN,3,8
20100423,OAK,CLE,10,0
20100423,TBA,TOR,5,6
20100423,TEX,DET,5,4
20100423,ARI,PHI,7,4
20100423,CIN,SDN,4,10
20100423,HOU,PIT,4,3
20100423,MIL,CHN,1,8
20100423,NYN,ATL,5,2
20100423,SFN,SLN,4,1
20100423,WAS,LAN,5,1
20100424,ANA,NYA,1,7
20100424,BOS,BAL,7,6
20100424,CHA,SEA,5,4
20100424,KCA,MIN,7,9
20100424,OAK,CLE,1,6
20100424,TBA,TOR,9,3
20100424,TEX,DET,4,8
20100424,ARI,PHI,2,3
20100424,CIN,SDN,0,5
20100424,COL,FLO,1,4
20100424,COL,FLO,8,1
20100424,HOU,PIT,5,2
20100424,MIL,CHN,1,5
20100424,NYN,ATL,3,1
20100424,SFN,SLN,2,0
20100424,WAS,LAN,3,4
20100425,ANA,NYA,8,4
20100425,BOS,BAL,6,7
20100425,CHA,SEA,3,2
20100425,KCA,MIN,4,3
20100425,OAK,CLE,11,0
20100425,TBA,TOR,6,0
20100425,TEX,DET,8,4
20100425,ARI,PHI,8,6
20100425,CIN,SDN,5,4
20100425,COL,FLO,8,4
20100425,HOU,PIT,10,3
20100425,MIL,CHN,2,12
20100425,NYN,ATL,1,0
20100425,SFN,SLN,0,2
20100425,WAS,LAN,1,0
20100426,ANA,CLE,5,2
20100426,KCA,SEA,3,1
20100426,TEX,DET,6,8
20100426,TOR,BOS,12,13
20100426,CHN,WAS,4,3
20100426,COL,ARI,3,5
20100426,FLO,SDN,10,1
20100426,MIL,PIT,17,3
20100426,SFN,PHI,5,1
20100426,SLN,ATL,4,3
20100427,ANA,CLE,2,9
20100427,BAL,NYA,5,4
20100427,DET,MIN,0,2
20100427,KCA,SEA,2,3
20100427,TBA,OAK,8,6
20100427,TEX,CHA,4,2
20100427,TOR,BOS,1,2
20100427,CHN,WAS,1,3
20100427,COL,ARI,12,1
20100427,FLO,SDN,1,4
20100427,HOU,CIN,2,6
20100427,MIL,PIT,3,7
20100427,NYN,LAN,4,0
20100427,NYN,LAN,10,5
20100427,SFN,PHI,6,2
20100427,SLN,ATL,5,4
20100428,ANA,CLE,4,3
20100428,BAL,NYA,3,8
20100428,DET,MIN,11,6
20100428,KCA,SEA,5,6
20100428,TBA,OAK,10,3
20100428,TEX,CHA,6,5
20100428,TOR,BOS,0,2
20100428,CHN,WAS,2,3
20100428,COL,ARI,11,12
20100428,FLO,SDN,4,6
20100428,HOU,CIN,4,6
20100428,MIL,PIT,5,6
20100428,NYN,LAN,7,3
20100428,SFN,PHI,6,7
20100428,SLN,ATL,6,0
20100429,BAL,NYA,0,4
20100429,DET,MIN,3,0
20100429,TBA,KCA,11,1
20100429,TEX,CHA,5,7
20100429,TOR,OAK,6,3
20100429,CHN,ARI,5,13
20100429,HOU,CIN,2,4
20100429,LAN,PIT,0,2
20100429,SDN,MIL,9,0
20100429,SLN,ATL,10,4
20100430,BAL,BOS,5,4
20100430,CLE,MIN,3,9
20100430,DET,ANA,10,6
20100430,NYA,CHA,6,4
20100430,SEA,TEX,0,2
20100430,TBA,KCA,2,3
20100430,TOR,OAK,10,2
20100430,ATL,HOU,4,2
20100430,CHN,ARI,11,5
20100430,FLO,WAS,1,7
20100430,LAN,PIT,6,2
20100430,PHI,NYN,1,9
20100430,SDN,MIL,3,0
20100430,SFN,COL,5,2
20100430,SLN,CIN,2,3
20100501,BAL,BOS,12,9
20100501,CLE,MIN,5,4
20100501,DET,ANA,3,2
20100501,NYA,CHA,6,7
20100501,SEA,TEX,3,6
20100501,TBA,KCA,2,4
20100501,TOR,OAK,3,4
20100501,ATL,HOU,10,1
20100501,CHN,ARI,7,5
20100501,FLO,WAS,7,1
20100501,LAN,PIT,5,1
20100501,PHI,NYN,10,0
20100501,SDN,MIL,1,2
20100501,SFN,COL,6,1
20100501,SLN,CIN,6,3
20100502,BAL,BOS,3,2
20100502,CLE,MIN,3,8
20100502,DET,ANA,5,1
20100502,NYA,CHA,12,3
20100502,SEA,TEX,1,3
20100502,TBA,KCA,1,0
20100502,TOR,OAK,9,3
20100502,ATL,HOU,7,1
20100502,CHN,ARI,10,5
20100502,FLO,WAS,9,3
20100502,LAN,PIT,9,3
20100502,PHI,NYN,11,5
20100502,SDN,MIL,8,0
20100502,SFN,COL,1,4
20100502,SLN,CIN,6,0
20100503,BOS,ANA,17,8
20100503,CHA,KCA,5,1
20100503,CLE,TOR,1,5
20100503,MIN,DET,10,4
20100503,NYA,BAL,4,1
20100503,OAK,TEX,2,4
20100503,CIN,NYN,3,2
20100503,HOU,ARI,1,9
20100503,PHI,SLN,3,6
20100503,SDN,COL,2,5
20100504,BOS,ANA,5,1
20100504,CHA,KCA,2,7
20100504,CLE,TOR,5,8
20100504,MIN,DET,4,3
20100504,NYA,BAL,4,1
20100504,OAK,TEX,7,6
20100504,SEA,TBA,2,5
20100504,CIN,NYN,4,5
20100504,FLO,SFN,6,9
20100504,HOU,ARI,0,1
20100504,LAN,MIL,6,11
20100504,PHI,SLN,2,1
20100504,PIT,CHN,3,2
20100504,SDN,COL,3,2
20100504,WAS,ATL,6,3
20100505,BOS,ANA,3,1
20100505,CHA,KCA,9,2
20100505,CLE,TOR,4,5
20100505,MIN,DET,5,4
20100505,NYA,BAL,7,5
20100505,OAK,TEX,4,1
20100505,SEA,TBA,3,8
20100505,CIN,NYN,5,4
20100505,FLO,SFN,2,3
20100505,HOU,ARI,4,2
20100505,LAN,MIL,3,11
20100505,PHI,SLN,4,0
20100505,PIT,CHN,4,2
20100505,SDN,COL,5,6
20100505,WAS,ATL,6,7
20100506,BOS,ANA,11,6
20100506,CHA,TOR,0,2
20100506,MIN,BAL,0,2
20100506,SEA,TBA,0,8
20100506,TEX,KCA,13,12
20100506,FLO,SFN,3,6
20100506,HOU,ARI,3,6
20100506,LAN,MIL,7,3
20100506,PHI,SLN,7,2
20100506,PIT,CHN,11,1
20100506,WAS,ATL,3,2
20100507,BOS,NYA,3,10
20100507,CHA,TOR,4,7
20100507,OAK,TBA,1,4
20100507,SEA,ANA,0,8
20100507,TEX,KCA,4,1
20100507,ARI,MIL,2,3
20100507,CIN,CHN,7,14
20100507,HOU,SDN,0,7
20100507,LAN,COL,6,5
20100507,NYN,SFN,6,4
20100507,PHI,ATL,7,0
20100507,PIT,SLN,3,4
20100507,WAS,FLO,2,4
20100508,BOS,NYA,3,14
20100508,CHA,TOR,7,3
20100508,CLE,DET,4,6
20100508,MIN,BAL,3,7
20100508,MIN,BAL,6,1
20100508,OAK,TBA,4,2
20100508,SEA,ANA,3,4
20100508,TEX,KCA,3,2
20100508,ARI,MIL,3,17
20100508,CIN,CHN,14,2
20100508,HOU,SDN,1,2
20100508,LAN,COL,0,8
20100508,NYN,SFN,5,4
20100508,PHI,ATL,1,4
20100508,PIT,SLN,2,0
20100508,WAS,FLO,5,4
20100509,BOS,NYA,9,3
20100509,CHA,TOR,7,9
20100509,CLE,DET,7,4
20100509,MIN,BAL,6,0
20100509,OAK,TBA,4,0
20100509,SEA,ANA,8,1
20100509,TEX,KCA,6,4
20100509,ARI,MIL,1,6
20100509,CIN,CHN,5,3
20100509,HOU,SDN,4,3
20100509,LAN,COL,2,0
20100509,NYN,SFN,5,6
20100509,PHI,ATL,5,3
20100509,PIT,SLN,4,11
20100509,WAS,FLO,3,2
20100510,ANA,TBA,5,4
20100510,BOS,TOR,7,6
20100510,DET,NYA,5,4
20100510,ARI,LAN,3,7
20100510,CHN,FLO,2,4
20100510,COL,PHI,5,9
20100510,MIL,ATL,2,8
20100510,NYN,WAS,2,3
20100510,PIT,CIN,1,2
20100511,ANA,TBA,2,7
20100511,BAL,SEA,1,5
20100511,BOS,TOR,6,1
20100511,KCA,CLE,2,8
20100511,MIN,CHA,2,5
20100511,TEX,OAK,6,7
20100511,ARI,LAN,3,13
20100511,CHN,FLO,2,3
20100511,MIL,ATL,3,11
20100511,NYN,WAS,8,6
20100511,PIT,CIN,0,9
20100511,SFN,SDN,2,3
20100511,SLN,HOU,3,6
20100512,ANA,TBA,3,4
20100512,BAL,SEA,5,2
20100512,BOS,TOR,2,3
20100512,DET,NYA,2,0
20100512,DET,NYA,0,8
20100512,KCA,CLE,0,4
20100512,MIN,CHA,3,2
20100512,TEX,OAK,10,1
20100512,ARI,LAN,3,6
20100512,CHN,FLO,4,3
20100512,COL,PHI,4,3
20100512,MIL,ATL,2,9
20100512,NYN,WAS,4,6
20100512,PIT,CIN,0,5
20100512,SFN,SDN,2,5
20100512,SLN,HOU,6,9
20100513,BAL,SEA,6,5
20100513,DET,NYA,6,0
20100513,KCA,CLE,6,4
20100513,TEX,OAK,2,1
20100513,COL,WAS,6,14
20100513,FLO,NYN,2,1
20100513,SFN,SDN,0,1
20100513,SLN,HOU,1,4
20100514,ANA,OAK,4,0
20100514,BAL,CLE,8,1
20100514,DET,BOS,2,7
20100514,KCA,CHA,6,1
20100514,NYA,MIN,8,4
